Chr1,Chr2,Blocks
5:,utexb3016_scaffold_22_g597.t1,3
3:,utexb3016_scaffold_21_g1164.t1,3
6:,utexb3016_scaffold_22_g598.t1,3
7:,utexb3016_scaffold_18_g769.t1,3
2:,utexb3016_scaffold_15_g663.t1,3
7:,utexb3016_scaffold_22_g599.t1,3
8:,utexb3016_scaffold_22_g600.t1,3
3:,utexb3016_scaffold_22_g557.t1,2
3:,utex2526_scaffold_10_g533.t1,2
3:,utexb3016_scaffold_22_g610.t1,2
3:,utexb3016_scaffold_22_g599.t1,2
3:,utex2526_scaffold_10_g615.t1,2
1:,utexb3016_scaffold_18_g748.t1,2
3:,utex2526_scaffold_10_g662.t1,2
7:,utexb3016_scaffold_17_g696.t1,2
11:,utex395_scaffold_25_g282.t1,2
4:,utexb3016_scaffold_15_g596.t1,2
3:,utex2526_scaffold_12_g724.t1,2
1:,utexb3016_scaffold_17_g540.t1,2
1:,utexb3016_scaffold_17_g520.t1,2
0:,utex395_scaffold_25_g968.t1,2
0:,utex395_scaffold_2_g129.t1,2
1:,utex2526_scaffold_12_g260.t1,2
8:,utexb3016_scaffold_17_g697.t1,2
5:,utexb3016_scaffold_22_g613.t1,2
5:,utexb3016_scaffold_22_g620.t1,2
19:,utex2526_scaffold_15_g105.t1,2
11:,utex2526_scaffold_15_g94.t1,2
5:,utexb3016_scaffold_22_g666.t1,2
5:,utexb3016_scaffold_22_g669.t1,2
0:,utexb3016_scaffold_10_g252.t1,2
5:,utex2526_scaffold_15_g1029.t1,2
14:,utex2526_scaffold_15_g97.t1,2
8:,utexb3016_scaffold_17_g286.t1,2
0:,utex395_scaffold_4_g488.t1,2
6:,utexb3016_scaffold_17_g695.t1,2
4:,utexb3016_scaffold_10_g259.t1,2
5:,utex2526_scaffold_14_g47.t1,2
1:,utexb3016_scaffold_21_g1161.t1,2
0:,utex395_scaffold_2_g302.t1,2
14:,utex2526_scaffold_15_g427.t1,2
0:,utex395_scaffold_2_g225.t1,2
4:,utexb3016_scaffold_17_g11.t1,2
2:,utex2526_scaffold_14_g150.t1,2
5:,utexb3016_scaffold_22_g610.t1,2
6:,utexb3016_scaffold_10_g785.t1,2
1:,utex2526_scaffold_14_g56.t1,2
4:,utexb3016_scaffold_18_g756.t1,2
3:,utexb3016_scaffold_17_g544.t1,2
3:,utexb3016_scaffold_17_g523.t1,2
3:,utexb3016_scaffold_17_g503.t1,2
0:,utex395_scaffold_15_g584.t1,2
0:,utex395_scaffold_15_g441.t1,2
3:,utex2526_scaffold_23_g94.t1,2
1:,utex2526_scaffold_15_g1180.t1,2
1:,utex2526_scaffold_15_g148.t1,2
